iter	Passed	Remaining
0	137	137333
1	139	69711
2	141	47152
3	144	35934
4	147	29314
5	149	24847
6	152	21628
7	155	19314
8	157	17359
9	158	15736
10	160	14404
11	161	13277
12	162	12309
13	162	11476
14	163	10748
15	164	10123
16	165	9573
17	166	9080
18	167	8653
19	168	8271
20	170	7945
21	171	7626
22	172	7331
23	173	7063
24	174	6808
25	175	6571
26	176	6350
27	177	6144
28	177	5951
29	178	5774
30	179	5608
31	180	5453
32	181	5311
33	182	5180
34	183	5069
35	184	4947
36	185	4830
37	186	4717
38	187	4611
39	187	4507
40	188	4410
41	189	4320
42	190	4231
43	190	4148
44	191	4067
45	192	3990
46	193	3917
47	193	3847
48	195	3785
49	196	3729
50	197	3673
51	198	3620
52	199	3563
53	200	3507
54	200	3453
55	201	3403
56	202	3353
57	203	3304
58	204	3257
59	205	3212
60	205	3167
61	206	3124
62	207	3084
63	208	3044
64	208	3006
65	209	2968
66	210	2933
67	211	2899
68	212	2871
69	213	2839
70	214	2806
71	215	2774
72	215	2742
73	216	2712
74	217	2681
75	218	2653
76	218	2625
77	219	2598
78	220	2572
79	221	2547
80	222	2523
81	223	2499
82	223	2471
83	224	2447
84	225	2428
85	226	2410
86	227	2388
87	228	2369
88	229	2348
89	230	2327
90	230	2307
91	231	2287
92	232	2269
93	233	2249
94	234	2231
95	234	2212
96	235	2194
97	236	2176
98	237	2158
99	238	2143
100	239	2128
101	241	2127
102	242	2115
103	243	2100
104	244	2084
105	245	2068
106	246	2053
107	246	2039
108	247	2024
109	248	2010
110	249	1996
111	249	1981
112	250	1967
113	251	1954
114	252	1941
115	253	1928
116	253	1914
117	254	1903
118	255	1892
119	256	1881
120	258	1874
121	258	1861
122	259	1850
123	260	1840
124	261	1831
125	262	1820
126	263	1808
127	263	1798
128	264	1787
129	265	1777
130	266	1766
131	267	1756
132	267	1746
133	268	1736
134	269	1727
135	270	1718
136	272	1714
137	273	1707
138	274	1698
139	275	1691
140	276	1683
141	276	1672
142	277	1664
143	278	1656
144	279	1647
145	280	1639
146	281	1631
147	281	1623
148	282	1615
149	283	1608
150	284	1600
151	286	1596
152	287	1593
153	288	1586
154	289	1578
155	290	1571
156	291	1564
157	292	1557
158	292	1549
159	293	1542
160	294	1534
161	295	1527
162	296	1520
163	296	1513
164	297	1507
165	298	1499
166	299	1493
167	300	1488
168	301	1484
169	303	1479
170	304	1473
171	304	1468
172	305	1462
173	306	1455
174	307	1449
175	308	1443
176	309	1437
177	309	1430
178	310	1424
179	311	1418
180	312	1412
181	312	1406
182	313	1400
183	314	1394
184	315	1389
185	316	1386
186	317	1382
187	318	1376
188	319	1371
189	320	1365
190	321	1360
191	321	1355
192	323	1351
193	324	1347
194	325	1343
195	326	1339
196	327	1334
197	328	1329
198	329	1325
199	330	1321
200	332	1320
201	333	1316
202	334	1312
203	335	1307
204	335	1302
205	336	1297
206	337	1292
207	338	1287
208	338	1282
209	339	1277
210	340	1273
211	341	1268
212	342	1263
213	342	1258
214	343	1254
215	344	1251
216	345	1248
217	347	1245
218	348	1241
219	349	1237
220	349	1233
221	350	1229
222	351	1225
223	352	1221
224	353	1217
225	354	1212
226	354	1208
227	355	1204
228	356	1200
229	357	1196
230	358	1192
231	359	1188
232	360	1185
233	361	1182
234	362	1179
235	363	1176
236	364	1172
237	365	1169
238	366	1165
239	367	1162
240	367	1158
241	368	1154
242	369	1150
243	370	1147
244	371	1143
245	371	1139
246	372	1136
247	373	1132
248	374	1128
249	375	1125
250	376	1123
251	377	1120
252	378	1117
253	379	1114
254	379	1110
255	380	1106
256	381	1103
257	382	1099
258	383	1096
259	384	1093
260	385	1090
261	385	1086
262	386	1083
263	387	1079
264	388	1076
265	388	1073
266	389	1070
267	390	1067
268	392	1065
269	393	1062
270	393	1059
271	394	1056
272	395	1053
273	396	1050
274	397	1046
275	397	1043
276	398	1040
277	399	1037
278	400	1034
279	401	1031
280	402	1028
281	402	1025
282	403	1022
283	404	1019
284	405	1017
285	406	1015
286	407	1013
287	408	1010
288	409	1007
289	410	1005
290	411	1002
291	412	998
292	412	996
293	413	993
294	414	990
295	415	987
296	416	985
297	416	982
298	418	980
299	419	978
300	420	975
301	421	974
302	422	972
303	424	970
304	424	968
305	425	965
306	426	962
307	427	959
308	428	957
309	428	954
310	429	951
311	430	949
312	431	946
313	432	943
314	432	941
315	433	938
316	434	937
317	435	934
318	437	934
319	438	932
320	439	930
321	440	928
322	441	925
323	442	923
324	443	920
325	444	918
326	444	915
327	445	913
328	446	910
329	447	908
330	448	905
331	449	903
332	450	901
333	451	900
334	453	899
335	453	896
336	454	894
337	455	892
338	456	890
339	457	888
340	458	886
341	459	884
342	460	882
343	461	879
344	462	877
345	463	875
346	465	875
347	466	874
348	467	872
349	469	872
350	471	870
351	472	869
352	473	867
353	473	864
354	474	862
355	475	860
356	476	858
357	477	856
358	478	854
359	480	853
360	481	851
361	482	850
362	483	848
363	484	846
364	485	844
365	486	842
366	487	840
367	488	838
368	489	837
369	490	834
370	491	832
371	492	830
372	493	829
373	494	827
374	496	826
375	497	825
376	498	824
377	499	822
378	500	820
379	501	818
380	502	816
381	503	814
382	503	811
383	504	809
384	505	807
385	506	805
386	507	803
387	508	801
388	509	799
389	511	799
390	512	798
391	514	797
392	514	795
393	515	793
394	516	791
395	517	789
396	518	787
397	519	785
398	519	783
399	520	781
400	521	779
401	522	777
402	523	775
403	524	774
404	526	773
405	527	771
406	528	769
407	529	767
408	530	765
409	530	763
410	531	761
411	532	759
412	533	757
413	534	756
414	535	754
415	535	752
416	536	750
417	537	748
418	538	747
419	539	745
420	541	744
421	542	742
422	542	740
423	543	738
424	544	737
425	545	735
426	546	733
427	547	731
428	548	729
429	548	727
430	549	725
431	550	723
432	551	722
433	552	720
434	553	718
435	554	717
436	556	716
437	556	714
438	557	712
439	558	710
440	559	708
441	559	706
442	560	704
443	561	703
444	562	701
445	563	699
446	564	697
447	565	696
448	565	694
449	566	692
450	567	691
451	568	689
452	569	687
453	570	686
454	571	685
455	572	683
456	573	681
457	574	679
458	575	677
459	575	676
460	576	674
461	577	672
462	578	670
463	579	669
464	579	667
465	580	665
466	581	663
467	582	662
468	583	660
469	585	660
470	586	658
471	587	657
472	588	655
473	589	653
474	590	652
475	590	650
476	591	648
477	592	647
478	593	645
479	594	643
480	594	641
481	595	640
482	596	638
483	597	636
484	598	635
485	600	634
486	601	633
487	602	632
488	603	630
489	604	629
490	605	627
491	606	625
492	606	624
493	607	622
494	608	620
495	609	619
496	610	617
497	611	616
498	612	614
499	612	612
500	614	611
501	615	610
502	616	609
503	617	607
504	618	605
505	619	604
506	620	602
507	620	601
508	621	599
509	622	598
510	623	596
511	624	594
512	625	593
513	626	592
514	627	590
515	628	589
516	629	588
517	631	587
518	632	586
519	633	584
520	634	583
521	635	581
522	636	580
523	637	578
524	637	577
525	638	575
526	639	573
527	640	572
528	640	570
529	641	569
530	642	567
531	643	566
532	645	565
533	646	563
534	646	562
535	647	560
536	648	559
537	649	557
538	650	556
539	651	554
540	652	553
541	652	551
542	653	550
543	654	548
544	655	546
545	655	545
546	656	543
547	657	542
548	658	540
549	659	539
550	660	538
551	661	537
552	662	535
553	663	534
554	664	532
555	664	530
556	665	529
557	666	527
558	667	526
559	668	524
560	668	523
561	669	521
562	670	520
563	671	518
564	671	517
565	672	515
566	673	514
567	675	513
568	676	512
569	677	510
570	677	509
571	678	507
572	679	506
573	680	505
574	681	503
575	682	502
576	682	500
577	683	499
578	684	497
579	685	496
580	686	494
581	686	493
582	687	491
583	688	490
584	690	489
585	691	488
586	692	487
587	693	485
588	694	484
589	694	482
590	695	481
591	696	480
592	697	478
593	698	477
594	698	475
595	699	474
596	700	472
597	701	471
598	702	470
599	703	468
600	704	467
601	705	466
602	706	465
603	707	463
604	708	462
605	709	461
606	709	459
607	710	458
608	711	456
609	712	455
610	712	453
611	713	452
612	714	451
613	715	449
614	716	448
615	717	447
616	718	445
617	719	444
618	720	443
619	721	442
620	722	440
621	722	439
622	723	438
623	724	436
624	725	435
625	726	433
626	726	432
627	727	431
628	728	429
629	729	428
630	730	426
631	730	425
632	731	424
633	732	422
634	733	421
635	735	420
636	736	419
637	737	418
638	738	417
639	739	415
640	740	414
641	741	413
642	742	412
643	743	410
644	744	409
645	744	408
646	745	406
647	746	405
648	747	404
649	748	403
650	750	402
651	750	400
652	751	399
653	752	398
654	753	396
655	754	395
656	755	394
657	756	393
658	757	391
659	757	390
660	758	389
661	759	387
662	760	386
663	761	385
664	762	384
665	763	382
666	764	381
667	766	380
668	766	379
669	768	378
670	768	376
671	769	375
672	770	374
673	771	373
674	772	371
675	773	370
676	774	369
677	774	367
678	775	366
679	776	365
680	777	364
681	778	363
682	780	362
683	781	360
684	781	359
685	782	358
686	783	357
687	784	355
688	785	354
689	785	353
690	786	351
691	787	350
692	788	349
693	788	347
694	789	346
695	790	345
696	791	344
697	792	342
698	793	341
699	794	340
700	795	339
701	796	338
702	797	336
703	798	335
704	799	334
705	800	333
706	800	331
707	801	330
708	802	329
709	803	328
710	804	326
711	805	325
712	805	324
713	806	323
