iter	RMSE
0	14.54059032
1	14.08383084
2	13.65185354
3	13.2522756
4	12.85932126
5	12.52464454
6	12.21906421
7	11.91637924
8	11.62514593
9	11.31894336
10	10.99746462
11	10.69319325
12	10.41220232
13	10.15150724
14	9.915281454
15	9.707544263
16	9.476562825
17	9.265241346
18	9.089863957
19	8.895714007
20	8.738664162
21	8.58407552
22	8.442973127
23	8.290858117
24	8.159425813
25	8.057263878
26	7.917939239
27	7.795233548
28	7.685469149
29	7.568442356
30	7.479765859
31	7.376417741
32	7.284585117
33	7.209888725
34	7.116697396
35	7.059249614
36	6.971905784
37	6.899016467
38	6.844465453
39	6.778399232
40	6.727295339
41	6.666797623
42	6.608118712
43	6.555907121
44	6.499030083
45	6.442560836
46	6.394307808
47	6.349826688
48	6.307648031
49	6.263777287
50	6.225002214
51	6.184849334
52	6.150346015
53	6.106487984
54	6.070485427
55	6.039754339
56	6.012279486
57	5.984151573
58	5.966135238
59	5.936616166
60	5.914007799
61	5.889727952
62	5.875673933
63	5.85611673
64	5.830211157
65	5.811677194
66	5.794049524
67	5.778110032
68	5.762281616
69	5.743432955
70	5.727874067
71	5.712904374
72	5.696741377
73	5.683735109
74	5.672608445
75	5.660697663
76	5.649077538
77	5.638158053
78	5.621022846
79	5.607268422
80	5.597401488
81	5.588347337
82	5.579839005
83	5.567397456
84	5.557183881
85	5.549311714
86	5.535266439
87	5.528544708
88	5.515836881
89	5.510535821
90	5.502820637
91	5.495692074
92	5.486166702
93	5.472689917
94	5.464988345
95	5.456578275
96	5.449264254
97	5.444204073
98	5.435692269
99	5.427785553
100	5.419961003
101	5.410982183
102	5.404533151
103	5.396389675
104	5.390117715
105	5.383281545
106	5.379365816
107	5.374324009
108	5.367925239
109	5.362038786
110	5.356991007
111	5.352831985
112	5.347663866
113	5.342021929
114	5.337850758
115	5.331260381
116	5.326586415
117	5.321069957
118	5.317603814
119	5.313658012
120	5.307391019
121	5.304934753
122	5.301424049
123	5.296730821
124	5.291039129
125	5.283683285
126	5.277542615
127	5.272350683
128	5.262742813
129	5.259245054
130	5.256010461
131	5.251922439
132	5.249551192
133	5.244954664
134	5.242117916
135	5.240875059
136	5.238595108
137	5.234786219
138	5.229499702
139	5.2246657
140	5.221441222
141	5.220209066
142	5.216641428
143	5.213911194
144	5.211482937
145	5.208923961
146	5.207286503
147	5.205114643
148	5.199572605
149	5.194940474
150	5.190914541
151	5.189130813
152	5.185149882
153	5.182335812
154	5.18038888
155	5.177533724
156	5.174541835
157	5.173810538
158	5.171281357
159	5.167693143
160	5.164297299
161	5.161914994
162	5.161272051
163	5.159010616
164	5.158745545
165	5.157521546
166	5.154433704
167	5.150587707
168	5.147754663
169	5.146040926
170	5.144009915
171	5.142246267
172	5.140055962
173	5.139337728
174	5.139078227
175	5.135563473
176	5.135318192
177	5.131690139
178	5.129417154
179	5.125438084
180	5.122776744
181	5.118564576
182	5.116831107
183	5.115081139
184	5.113695172
185	5.112015936
186	5.108652927
187	5.10762565
188	5.104514171
189	5.099726551
190	5.097049146
191	5.096807648
192	5.093834981
193	5.091434619
194	5.089659909
195	5.089136989
196	5.087902363
197	5.087420522
198	5.085628125
199	5.081587413
