iter	Passed	Remaining
0	0	98
1	0	95
2	1	120
3	2	133
4	3	129
5	4	129
6	4	134
7	5	141
8	6	145
9	7	146
10	9	155
11	10	157
12	11	166
13	12	165
14	13	164
15	14	163
16	14	161
17	15	161
18	16	159
19	17	159
20	18	157
21	19	155
22	20	153
23	20	153
24	21	152
25	22	150
26	23	150
27	24	150
28	25	150
29	26	148
30	27	147
31	27	146
32	28	145
33	29	143
34	30	142
35	30	140
36	31	138
37	32	136
38	32	135
39	33	133
40	34	131
41	34	131
42	35	129
43	36	128
44	36	127
45	37	125
46	38	124
47	38	122
48	39	121
49	40	120
50	40	119
51	41	118
52	42	117
53	42	116
54	43	114
55	43	112
56	44	111
57	44	109
58	45	108
59	45	107
60	46	105
61	46	103
62	47	102
63	47	101
64	48	100
65	48	99
66	49	97
67	49	96
68	50	95
69	50	94
70	51	92
71	51	91
72	52	90
73	52	89
74	52	88
75	53	87
76	53	85
77	54	84
78	54	83
79	55	82
80	55	81
81	55	80
82	56	79
83	56	78
84	57	77
85	57	76
86	58	75
87	58	74
88	59	73
89	59	72
90	60	71
91	60	70
92	60	70
93	61	69
94	61	68
95	62	67
96	62	66
97	63	65
98	63	65
99	64	64
100	64	63
101	65	62
102	65	61
103	65	60
104	66	59
105	66	59
106	67	58
107	67	57
108	67	56
109	68	55
110	68	55
111	69	54
112	69	53
113	69	52
114	70	52
115	70	51
116	71	50
117	71	49
118	72	49
119	72	48
120	73	47
121	73	46
122	73	46
123	74	45
124	74	44
125	75	44
126	75	43
127	76	42
128	76	42
129	77	41
130	77	40
131	78	40
132	78	39
133	78	38
134	79	38
135	79	37
136	80	36
137	80	36
138	81	35
139	81	34
140	81	34
141	82	33
142	82	33
143	83	32
144	83	31
145	84	31
146	84	30
147	84	29
148	85	29
149	85	28
150	86	27
151	86	27
152	87	26
153	87	26
154	88	25
155	88	25
156	89	24
157	89	23
158	89	23
159	90	22
160	90	22
161	91	21
162	91	20
163	92	20
164	92	19
165	92	19
166	93	18
167	93	17
168	94	17
169	94	16
170	95	16
171	95	15
172	95	14
173	96	14
174	96	13
175	97	13
176	97	12
177	97	12
178	98	11
179	98	10
180	99	10
181	99	9
182	100	9
183	100	8
184	101	8
185	101	7
186	102	7
187	102	6
188	102	5
189	103	5
190	103	4
191	104	4
192	104	3
193	104	3
194	105	2
195	105	2
196	106	1
197	106	1
198	106	0
199	107	0
